"filename", "language", "Docker", "HTML", "JSON", "JavaScript", "Markdown", "Shell Script", "Batch", "CSS", "C#", "XML", "SCSS", "YAML", "SQL", "comment", "blank", "total"
"d:\REACT\ExpoApp-frontend2\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\REACT\ExpoApp-frontend2\TODO.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\MessageContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\MessageType.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Accommodation\CreateAccommodationApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Accommodation\DeleteAccommodationByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Accommodation\GetAccommodationByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Accommodation\GetAccommodationsApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Accommodation\GetNumberOfAccommodationsApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Accommodation\UpdateAccommodationByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
